statecd,districtID,attendee_count
AL1,0,0
AL2,1,0
AL3,2,0
AL4,3,0
AL5,4,0
AL6,5,0
AL7,6,0
AK1,7,12
AZ1,8,2
AZ2,9,12
AZ3,10,40
AZ4,11,15
AZ5,12,30
AZ6,13,185
AZ7,14,20
AZ8,15,33
AZ9,16,65
AR1,17,0
AR2,18,0
AR3,19,2
AR4,20,9
CA1,21,15
CA2,22,313
CA3,23,45
CA4,24,15
CA5,25,151
CA6,26,60
CA7,27,0
CA8,28,31
CA9,29,0
CA10,30,0
CA11,31,0
CA12,32,228
CA13,33,15
CA14,34,5
CA15,35,0
CA16,36,0
CA17,37,0
CA18,38,52
CA19,39,0
CA20,40,81
CA21,41,0
CA22,42,0
CA23,43,0
CA24,44,265
CA25,45,0
CA26,46,25
CA27,47,15
CA28,48,240
CA29,49,0
CA30,50,0
CA31,51,9
CA32,52,0
CA33,53,136
CA34,54,207
CA35,55,0
CA36,56,0
CA37,57,0
CA38,58,0
CA39,59,0
CA40,60,0
CA41,61,0
CA42,62,86
CA43,63,20
CA44,64,0
CA45,65,0
CA46,66,40
CA47,67,31
CA48,68,0
CA49,69,0
CA50,70,20
CA51,71,0
CA52,72,24
CA53,73,725
CO1,74,179
CO2,75,207
CO3,76,148
CO4,77,32
CO5,78,90
CO6,79,38
CO7,80,16
CT1,81,0
CT2,82,0
CT3,83,0
CT4,84,0
CT5,85,0
DE1,86,0
FL1,87,0
FL2,88,0
FL3,89,0
FL4,90,0
FL5,91,0
FL6,92,0
FL7,93,0
FL8,94,0
FL9,95,0
FL10,96,0
FL11,97,0
FL12,98,0
FL13,99,0
FL14,100,0
FL15,101,0
FL16,102,0
FL17,103,0
FL18,104,0
FL19,105,0
FL20,106,0
FL21,107,0
FL22,108,0
FL23,109,0
FL24,110,0
FL25,111,0
FL26,112,0
FL27,113,0
GA1,114,0
GA2,115,0
GA3,116,0
GA4,117,0
GA5,118,17
GA6,119,0
GA7,120,0
GA8,121,0
GA9,122,0
GA10,123,0
GA11,124,0
GA12,125,0
GA13,126,0
GA14,127,0
HI1,128,0
HI2,129,14
ID1,130,173
ID2,131,137
IL1,132,0
IL2,133,0
IL3,134,0
IL4,135,40
IL5,136,300
IL6,137,60
IL7,138,2
IL8,139,0
IL9,140,32
IL10,141,25
IL11,142,0
IL12,143,0
IL13,144,0
IL14,145,25
IL15,146,0
IL16,147,0
IL17,148,0
IL18,149,34
IN1,150,100
IN2,151,0
IN3,152,0
IN4,153,0
IN5,154,0
IN6,155,0
IN7,156,0
IN8,157,0
IN9,158,0
IA1,159,0
IA2,160,0
IA3,161,14
IA4,162,11
KS1,163,0
KS2,164,0
KS3,165,0
KS4,166,0
KY1,167,27
KY2,168,0
KY3,169,0
KY4,170,0
KY5,171,0
KY6,172,13
LA1,173,0
LA2,174,0
LA3,175,0
LA4,176,0
LA5,177,5
LA6,178,0
ME1,179,0
ME2,180,0
MD1,181,0
MD2,182,0
MD3,183,0
MD4,184,0
MD5,185,0
MD6,186,0
MD7,187,0
MD8,188,0
MA1,189,0
MA2,190,0
MA3,191,0
MA4,192,0
MA5,193,0
MA6,194,0
MA7,195,0
MA8,196,0
MA9,197,0
MI1,198,0
MI2,199,0
MI3,200,0
MI4,201,0
MI5,202,0
MI6,203,0
MI7,204,0
MI8,205,0
MI9,206,0
MI10,207,0
MI11,208,0
MI12,209,0
MI13,210,0
MI14,211,0
MN1,212,0
MN2,213,0
MN3,214,15
MN4,215,13
MN5,216,0
MN6,217,0
MN7,218,0
MN8,219,0
MS1,220,0
MS2,221,0
MS3,222,0
MS4,223,0
MO1,224,0
MO2,225,0
MO3,226,0
MO4,227,0
MO5,228,0
MO6,229,9
MO7,230,0
MO8,231,13
MT1,232,103
NE1,233,0
NE2,234,0
NE3,235,0
NV1,236,0
NV2,237,0
NV3,238,0
NV4,239,0
NH1,240,0
NH2,241,0
NJ1,242,0
NJ2,243,0
NJ3,244,0
NJ4,245,0
NJ5,246,0
NJ6,247,2
NJ7,248,0
NJ8,249,0
NJ9,250,0
NJ10,251,0
NJ11,252,0
NJ12,253,0
NM1,254,83
NM2,255,38
NM3,256,155
NY1,257,0
NY2,258,0
NY3,259,0
NY4,260,0
NY5,261,0
NY6,262,0
NY7,263,0
NY8,264,0
NY9,265,0
NY10,266,0
NY11,267,0
NY12,268,0
NY13,269,0
NY14,270,0
NY15,271,0
NY16,272,0
NY17,273,0
NY18,274,0
NY19,275,0
NY20,276,0
NY21,277,0
NY22,278,0
NY23,279,0
NY24,280,0
NY25,281,0
NY26,282,0
NY27,283,0
NC1,284,0
NC2,285,1
NC3,286,0
NC4,287,0
NC5,288,0
NC6,289,0
NC7,290,0
NC8,291,0
NC9,292,0
NC10,293,0
NC11,294,0
NC12,295,0
NC13,296,0
ND1,297,0
OH1,298,0
OH2,299,0
OH3,300,0
OH4,301,0
OH5,302,0
OH6,303,0
OH7,304,0
OH8,305,0
OH9,306,0
OH10,307,0
OH11,308,0
OH12,309,0
OH13,310,0
OH14,311,0
OH15,312,0
OH16,313,0
OK1,314,0
OK2,315,0
OK3,316,0
OK4,317,0
OK5,318,0
OR1,319,0
OR2,320,32
OR3,321,182
OR4,322,0
OR5,323,61
PA1,324,0
PA2,325,0
PA3,326,0
PA4,327,0
PA5,328,16
PA6,329,0
PA7,330,0
PA8,331,0
PA9,332,0
PA10,333,0
PA11,334,0
PA12,335,0
PA13,336,0
PA14,337,0
PA15,338,0
PA16,339,0
PA17,340,0
PA18,341,0
RI1,342,0
RI2,343,0
SC1,344,0
SC2,345,0
SC3,346,0
SC4,347,0
SC5,348,0
SC6,349,0
SC7,350,0
SD1,351,22
TN1,352,0
TN2,353,0
TN3,354,0
TN4,355,0
TN5,356,48
TN6,357,0
TN7,358,0
TN8,359,0
TN9,360,0
TX1,361,0
TX2,362,59
TX3,363,15
TX4,364,0
TX5,365,0
TX6,366,0
TX7,367,0
TX8,368,0
TX9,369,21
TX10,370,0
TX11,371,0
TX12,372,48
TX13,373,0
TX14,374,0
TX15,375,0
TX16,376,0
TX17,377,15
TX18,378,0
TX19,379,7
TX20,380,0
TX21,381,0
TX22,382,106
TX23,383,0
TX24,384,0
TX25,385,0
TX26,386,212
TX27,387,0
TX28,388,0
TX29,389,20
TX30,390,20
TX31,391,0
TX32,392,0
TX33,393,0
TX34,394,0
TX35,395,66
TX36,396,0
UT1,397,43
UT2,398,202
UT3,399,0
UT4,400,0
VT1,401,0
VA1,402,0
VA2,403,0
VA3,404,0
VA4,405,0
VA5,406,0
VA6,407,0
VA7,408,0
VA8,409,0
VA9,410,0
VA10,411,0
VA11,412,0
WA1,413,40
WA2,414,182
WA3,415,127
WA4,416,70
WA5,417,0
WA6,418,37
WA7,419,487
WA8,420,25
WA9,421,0
WA10,422,43
WV1,423,0
WV2,424,0
WV3,425,0
WI1,426,0
WI2,427,20
WI3,428,2
WI4,429,0
WI5,430,0
WI6,431,0
WI7,432,0
WI8,433,0
WY1,434,45
